,channel,videoId,videoKind,publishedDateTime,videoTitle,playlistId,categoryId,duration,viewCount,likeCount,dislikeCount,score,participantId,numOfVotes,mean,std
11,UCLXo7UDZvByw2ixzpQCufnA | Vox,-3-bVRYRnSM,youtube#video,2019-09-16T12:00:01.000Z,Why this creepy melody is in so many movies,UULXo7UDZvByw2ixzpQCufnA,27.0,PT5M49S,1753767.0,52578.0,1265.0,"1, 2, 3","['A17W4VSDK9SD33', 'A1HNB2243A2PQH', 'A11BACV6DY5S8M']",3,2.0,0.8164965809277259
13,UCZYTClx2T1of7BRZ86-8fow | SciShow,-3HCG0gqxbs,youtube#video,2016-04-15T21:11:41.000Z,Another Zika Update & Quantum Physics Gamers,UUZYTClx2T1of7BRZ86-8fow,27.0,PT5M9S,403718.0,10932.0,107.0,0,['A1D32H228RF6EX'],1,0.0,0.0
14,UCLXo7UDZvByw2ixzpQCufnA | Vox,-3h4Xt9No9o,youtube#video,2018-04-23T12:11:34.000Z,Why Atlantic fish are invading the Arctic,UULXo7UDZvByw2ixzpQCufnA,25.0,PT5M45S,434564.0,9471.0,359.0,"0, 2","['A3YP2RNFZ1PQP', 'A221T10MJY10O6']",2,1.0,1.0
16,UCpJmBQ8iNHXeQ7jQWDyGe3A | Life Noggin,-4F8BBqjm_g,youtube#video,2019-01-31T14:00:00.000Z,What If Earth Had 67 Moons? - Dear Blocko #10,UUpJmBQ8iNHXeQ7jQWDyGe3A,27.0,PT3M54S,967175.0,20792.0,348.0,"0, 1","['A2HX13XTRKDD9C', 'A14UJPO621M1X0']",2,0.5,0.5
17,UC7_gcs09iThXybpVgjHZ_7g | PBS Space Time,-4PayaEgEZc,youtube#video,2016-04-20T20:30:08.000Z,Why the Universe Needs Dark Energy | Space Time | PBS Digital Studios,UU7_gcs09iThXybpVgjHZ_7g,27.0,PT12M41S,675224.0,13364.0,154.0,"1, 1","['A3YP2RNFZ1PQP', 'A3GRDYAGMTAU02']",2,1.0,0.0
18,UCftwRNsjfRo08xYE31tkiyw | WIRED,-4kicXCKmLk,youtube#video,2017-02-21T20:01:04.000Z,Get Out' Cast Shows Us the Last Thing on Their Phones | WIRED,UUftwRNsjfRo08xYE31tkiyw,24.0,PT1M59S,1212610.0,19744.0,309.0,2,['A2ZM10511OH8WY'],1,2.0,0.0
19,UCZYTClx2T1of7BRZ86-8fow | SciShow,-5zqvdFpxyE,youtube#video,2019-07-21T21:00:00.000Z,5 Science-Backed Barbecue Tips,UUZYTClx2T1of7BRZ86-8fow,27.0,PT9M28S,206243.0,7858.0,210.0,"0, 1","['A1O6NAOVMJ1XVC', 'A3BHWR32XVJSXJ']",2,0.5,0.5
20,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-60bP1hnpaI,youtube#video,2019-10-13T14:00:01.000Z,What If: World Without the US - Part 1,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT11M21S,462214.0,11340.0,734.0,"0, 0","['A140DPSW275GFR', 'A1O6NAOVMJ1XVC']",2,0.0,0.0
21,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,-6BlLh_aVI0,youtube#video,2017-04-25T15:30:01.000Z,A physicist debunks the biggest myth about the Bermuda Triangle,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M37S,559925.0,4650.0,551.0,"0, 0","['A24RQYIDMV7OPK', 'A86CAG3LG83GG']",2,0.0,0.0
22,UCRyIP2oznv4UPAl1jmKS5kA | Top 10s,-7WGI3JoxAg,youtube#video,2016-10-21T17:30:58.000Z,10 WORST Doctors Of All Time,UURyIP2oznv4UPAl1jmKS5kA,27.0,PT11M25S,7735874.0,47399.0,4881.0,"0, 1","['A2Z0V2A4SP5QE0', 'A3YP2RNFZ1PQP']",2,0.5,0.5
23,UCftwRNsjfRo08xYE31tkiyw | WIRED,-7wgC0-xOZE,youtube#video,2019-08-19T16:30:03.000Z,The Russo Brothers Answer Avengers: Endgame Questions From Twitter | Tech Support | WIRED,UUftwRNsjfRo08xYE31tkiyw,24.0,PT13M,2787619.0,79263.0,2576.0,"2, 2, 3","['A1TW2BZRRS874Z', 'A2LV5432PV1S39', 'A2R0YYUAWNT7UD']",3,2.333333333333333,0.4714045207910317
24,UCZWlSUNDvCCS1hBiXV0zKcA | PragerU,-7x0TzZQMmo,youtube#video,2016-11-09T02:14:33.000Z,Dennis Prager on Fighting for America (2016 PragerU Dinner),UUZWlSUNDvCCS1hBiXV0zKcA,27.0,PT17M27S,105158.0,4104.0,359.0,"0, 0","['A2G92T4A1U377C', 'A2726YRGIF5ZXL']",2,0.0,0.0
25,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-8SvfPnt9Y0,youtube#video,2018-03-08T17:00:01.000Z,NATO vs BRICS - What's The Difference & How Do They Compare?,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT7M20S,2079775.0,33643.0,2133.0,"0, 1, 2","['AT0HCQ06QZN7Q', 'A3BHWR32XVJSXJ', 'AP4A0MZOKR52J']",3,1.0,0.8164965809277259
26,UCYO_jab_esuFRV4b17AJtAw | 3Blue1Brown,-9OUyo8NFZg,youtube#video,2015-06-21T06:05:43.000Z,Euler's Formula and Graph Duality,UUYO_jab_esuFRV4b17AJtAw,27.0,PT7M27S,289573.0,5908.0,66.0,0,['A39980PKUJE4NS'],1,0.0,0.0
27,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,-AU_sfEkA-U,youtube#video,2019-11-18T18:29:46.000Z,The Twelve Labors of Hercules - The Quest for Phat Loot! - Extra Mythology - #1,UUCODtTcd5M1JavPCOr_Uydg,27.0,PT8M59S,158147.0,8117.0,106.0,"0, 0","['A2V66KLFVJTLKC', 'A140DPSW275GFR']",2,0.0,0.0
28,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-BCRQ7zsbfA,youtube#video,2018-12-25T17:02:00.000Z,The Supersonic Submarine - New Secret US Army Development?,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT7M13S,790630.0,9440.0,962.0,"1, 1","['AC54HUSIFWSP', 'A3T3CRF61D218E']",2,1.0,0.0
29,UCRyIP2oznv4UPAl1jmKS5kA | Top 10s,-C671buZDOY,youtube#video,2017-04-15T18:33:57.000Z,10 AMAZING FACTS ABOUT YOUR BODY | Compilation,UURyIP2oznv4UPAl1jmKS5kA,27.0,PT23M49S,1442506.0,13936.0,1301.0,0,['A2G92T4A1U377C'],1,0.0,0.0
30,UCZWlSUNDvCCS1hBiXV0zKcA | PragerU,-CEv-wd8Ddc,youtube#video,2017-02-17T09:58:35.000Z,Why Are Your Payroll Taxes So High?,UUZWlSUNDvCCS1hBiXV0zKcA,27.0,PT1M46S,480522.0,2852.0,153.0,"0, 0","['AA4KKLIU4C3NY', 'AYMJAMX7Z7YHG']",2,0.0,0.0
31,UCLXo7UDZvByw2ixzpQCufnA | Vox,-CLttw5dl5w,youtube#video,2018-08-22T11:36:56.000Z,"Michael Cohen: Sex, lies, and campaign finance",UULXo7UDZvByw2ixzpQCufnA,25.0,PT5M9S,593181.0,12229.0,598.0,0,['A24RQYIDMV7OPK'],1,0.0,0.0
33,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,-CouQMh_PUo,youtube#video,2019-04-20T17:29:53.000Z,Siege of Vienna - Charge of the Winged Hussars - Extra History - #3,UUCODtTcd5M1JavPCOr_Uydg,27.0,PT10M52S,813713.0,28224.0,343.0,"0, 0","['AGLRR7BJRX0J5', 'A3QU964EOJXS56']",2,0.0,0.0
34,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,-Cxq7ZmnFLU,youtube#video,2017-10-29T10:36:06.000Z,"Sternberg's Theory of Love: Intimacy, Commitment, Passion",UUkJEpR7JmS36tajD34Gp4VA,27.0,PT4M51S,168479.0,8366.0,44.0,"0, 0","['ACI8PUCF5OPDC', 'A2HX13XTRKDD9C']",2,0.0,0.0
35,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,-Drg-xdxtYo,youtube#video,2018-03-24T19:00:00.000Z,"Google, Apple, And Amazon Are In A War That No One Will Win",UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT3M29S,127750.0,2788.0,126.0,"0, 2","['A2OP2ZANIM5ZV', 'ANBWJZYU2A68T']",2,1.0,1.0
36,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,-Dsy1I1GXeM,youtube#video,2019-05-19T17:46:10.000Z,"Melting Cars: The ""Walkie Scorchie"" Building",UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT4M17S,136731.0,7309.0,93.0,2,['A3P1NY0QCY81H9'],1,2.0,0.0
37,UCphTF9wHwhCt-BzIq-s4V-g | What If,-EEMit5sr5s,youtube#video,2018-10-22T15:43:42.000Z,What If Plastic Was Never Invented?,UUphTF9wHwhCt-BzIq-s4V-g,28.0,PT3M30S,1548164.0,35504.0,641.0,"0, 1, 2","['A142YEQ6O81P55', 'AIUKV0KVALMY6', 'A28EZTFIIDESKT']",3,1.0,0.8164965809277259
38,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-E_TWPCkqy4,youtube#video,2019-01-17T22:00:01.000Z,Insane Way El Chapo Escaped Prison,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT8M,12711317.0,167400.0,5593.0,"0, 2","['A2HX13XTRKDD9C', 'A3QU964EOJXS56']",2,1.0,1.0
39,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,-Emj8iPzzAw,youtube#video,2018-11-18T20:00:00.000Z,Why NASA Is Sending An $850 Million Hammer To Mars,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT3M32S,426477.0,6008.0,253.0,1,['A2GRJVN7B5YR96'],1,1.0,0.0
40,UCftwRNsjfRo08xYE31tkiyw | WIRED,-EueYot6TZ4,youtube#video,2018-04-03T16:00:30.000Z,John Cena Answers Wrestling Questions From Twitter | Tech Support | WIRED,UUftwRNsjfRo08xYE31tkiyw,24.0,PT7M37S,7284585.0,176918.0,4479.0,"2, 2, 3","['A17D4EIP6P68L7', 'A1XUZFDVKP95VC', 'A1YFETJK9CSLGP']",3,2.333333333333333,0.4714045207910317
41,UC6nSFpj9HTCZ5t-N3Rm3-HA | Vsauce,-FYvy3_egHw,youtube#video,2018-07-09T22:19:52.000Z,The New Astronomy: Crash Course History of Science #13,UUX6b17PVsYBQ0ip5gyeme-Q,27.0,PT12M35S,177944.0,3780.0,67.0,1,['A34148D16GAW5D'],1,1.0,0.0
42,UCpJmBQ8iNHXeQ7jQWDyGe3A | Life Noggin,-FyN5_-njAU,youtube#video,2015-08-10T16:59:17.000Z,What Happens Inside Your Body? - VR 360°,UUpJmBQ8iNHXeQ7jQWDyGe3A,27.0,PT4M57S,8122336.0,102020.0,3619.0,"0, 0","['AGLRR7BJRX0J5', 'A1WBSYXJA7CD2Z']",2,0.0,0.0
43,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-G2Q5lKYsfM,youtube#video,2018-04-28T15:00:00.000Z,Is It Safe: To Live in China,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT9M28S,618342.0,10055.0,743.0,"0, 1","['A2KWEVSI7P1RGQ', 'A2Z0V2A4SP5QE0']",2,0.5,0.5
44,UCsooa4yRKGN_zEE8iknghZA | TED-Ed,-GsVhbmecJA,youtube#video,2016-09-15T15:17:54.000Z,Aphasia: The disorder that makes you lose your words - Susan Wortman-Jutt,UUsooa4yRKGN_zEE8iknghZA,27.0,PT5M11S,658277.0,12761.0,100.0,"0, 0","['A1WBSYXJA7CD2Z', 'A2G92T4A1U377C']",2,0.0,0.0
45,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,-H97gCCJFXA,youtube#video,2016-06-16T17:00:17.000Z,Backtracking and Level Design - Making a Way Out - Extra Credits,UUCODtTcd5M1JavPCOr_Uydg,20.0,PT7M21S,473698.0,13231.0,272.0,"0, 0, 1","['AFZ72GJPD891A', 'A14M2EERU7E8KD', 'A1YFETJK9CSLGP']",3,0.3333333333333333,0.4714045207910317
46,UCRyIP2oznv4UPAl1jmKS5kA | Top 10s,-I4meNcFZ28,youtube#video,2017-12-26T21:19:21.000Z,10 LOST & BANNED KIDS SHOW EPISODES,UURyIP2oznv4UPAl1jmKS5kA,27.0,PT7M8S,281946.0,5756.0,263.0,"0, 1","['AC54HUSIFWSP', 'A2Z0V2A4SP5QE0']",2,0.5,0.5
47,UCpJmBQ8iNHXeQ7jQWDyGe3A | Life Noggin,-I6wlwWgUP4,youtube#video,2018-02-22T14:00:00.000Z,What If You Never Felt Pain?,UUpJmBQ8iNHXeQ7jQWDyGe3A,27.0,PT3M26S,1752414.0,35253.0,539.0,"0, 0","['A86CAG3LG83GG', 'A393D0YOTJ8QWA']",2,0.0,0.0
48,UC3sznuotAs2ohg_U__Jzj_Q | The Film Theorists,-IAHrfZxzB4,youtube#video,2016-10-19T21:32:04.000Z,Film Theory: Ouija is the Sequel to THE EXORCIST?,UU3sznuotAs2ohg_U__Jzj_Q,1.0,PT13M30S,6427817.0,119265.0,4303.0,"0, 2","['A1O6NAOVMJ1XVC', 'A1S65MPJSSYO6D']",2,1.0,1.0
49,UCpJmBQ8iNHXeQ7jQWDyGe3A | Life Noggin,-IIQIsZIo7o,youtube#video,2016-06-06T13:00:29.000Z,What Would Happen To You If All The Bees Die?,UUpJmBQ8iNHXeQ7jQWDyGe3A,27.0,PT2M36S,1582461.0,20050.0,481.0,0,['A3MIMTJL7OVXJB'],1,0.0,0.0
50,UCpJmBQ8iNHXeQ7jQWDyGe3A | Life Noggin,-IJShO_jjy8,youtube#video,2017-08-10T13:00:00.000Z,What Color Does This Video Taste Like?,UUpJmBQ8iNHXeQ7jQWDyGe3A,27.0,PT2M49S,464436.0,13437.0,197.0,"0, 2","['A3BHWR32XVJSXJ', 'A3T3CRF61D218E']",2,1.0,1.0
51,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,-IPanvJaZ0I,youtube#video,2017-08-09T23:00:01.000Z,4DX movie theaters are the next-best thing to being in the film,UUVLZmDKeT-mV4H3ToYXIFYg,28.0,PT1M21S,330052.0,2866.0,190.0,1,['A3QU964EOJXS56'],1,1.0,0.0
52,UCVLZmDKeT-mV4H3ToYXIFYg | Tech Insider,-IQSxsbN7cY,youtube#video,2017-06-07T13:44:36.000Z,This speed bump is filled with liquid that hardens if you go too fast,UUVLZmDKeT-mV4H3ToYXIFYg,25.0,PT1M31S,190716.0,1031.0,106.0,0,['AC54HUSIFWSP'],1,0.0,0.0
53,UCkJEpR7JmS36tajD34Gp4VA | Psych2Go,-ISz5tsB7Es,youtube#video,2019-07-10T21:34:53.000Z,10 Facts About Bipolar Disorder That Everyone Should Know,UUkJEpR7JmS36tajD34Gp4VA,27.0,PT5M50S,150871.0,7490.0,172.0,"1, 1","['A39980PKUJE4NS', 'A39980PKUJE4NS']",1,1.0,0.0
54,UCZWlSUNDvCCS1hBiXV0zKcA | PragerU,-IchGuL501U,youtube#video,2015-06-15T09:27:51.000Z,Why Do People Become Islamic Extremists?,UUZWlSUNDvCCS1hBiXV0zKcA,27.0,PT5M10S,1791830.0,30455.0,3230.0,"0, 0, 0","['A2IKZUG69SPJXO', 'A2ONQYOHK167IH', 'A3VA8TXLVV8ESX']",3,0.0,0.0
55,UC7_gcs09iThXybpVgjHZ_7g | PBS Space Time,-IfmgyXs7z8,youtube#video,2016-06-01T18:56:49.000Z,Is Quantum Tunneling Faster than Light? | Space Time | PBS Digital Studios,UU7_gcs09iThXybpVgjHZ_7g,27.0,PT11M7S,1337742.0,24475.0,454.0,"0, 0","['A36SUOEMOIXFSO', 'A86CAG3LG83GG']",2,0.0,0.0
56,UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,-Irmtk5QG8s,youtube#video,2015-04-24T14:05:20.000Z,Is Ultron Inevitable?  Featuring Vsauce3!,UUH4BNI0-FOK2dMXoFtViWHw,27.0,PT8M23S,1685023.0,32591.0,812.0,"0, 1, 2, 2, 2","['AA4KKLIU4C3NY', 'A1YFETJK9CSLGP', 'A2H8GNSEVUJXYL', 'A3GR8MTLTV0QW6', 'A145Z2L40FAB8J']",5,1.4,0.8
57,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,-JG-5otw0O8,youtube#video,2015-05-30T13:59:31.000Z,Africa: Zulu Empire - Diamonds in South Africa - Extra History - #3,UUCODtTcd5M1JavPCOr_Uydg,27.0,PT9M4S,1337897.0,17932.0,202.0,"0, 2","['A2KWEVSI7P1RGQ', 'AVAYKAIM72C64']",2,1.0,1.0
58,UC3sznuotAs2ohg_U__Jzj_Q | The Film Theorists,-K2WUezOTDg,youtube#video,2018-10-25T20:06:49.000Z,Film Theory: The TRUE STORY of The Conjuring Horror Movies - What REALLY Happened?,UU3sznuotAs2ohg_U__Jzj_Q,1.0,PT15M9S,4324802.0,122037.0,2826.0,"0, 1","['A86CAG3LG83GG', 'AC54HUSIFWSP']",2,0.5,0.5
59,UCftwRNsjfRo08xYE31tkiyw | WIRED,-KqF6qjcOZw,youtube#video,2017-08-15T16:04:23.000Z,How To Watch And Photograph An Eclipse | OOO With Brent Rose | WIRED,UUftwRNsjfRo08xYE31tkiyw,28.0,PT6M22S,263875.0,3053.0,120.0,"0, 2","['A2G92T4A1U377C', 'A3BHWR32XVJSXJ']",2,1.0,1.0
60,UCZWlSUNDvCCS1hBiXV0zKcA | PragerU,-LGzrYUGXdI,youtube#video,2015-09-28T09:00:45.000Z,Radical Islam: The Most Dangerous Ideology,UUZWlSUNDvCCS1hBiXV0zKcA,27.0,PT4M45S,1273296.0,26042.0,3124.0,0,['A3P04JZJNOYILR'],1,0.0,0.0
61,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-LMF7oAvNag,youtube#video,2018-08-10T14:00:00.000Z,Who Was Indian Stoneman Serial Killer And Why Was He Never Found?,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT7M42S,1101449.0,19342.0,780.0,"0, 2","['A1UBV2NP7OVDVV', 'A1YFETJK9CSLGP']",2,1.0,1.0
62,UCfdNM3NAhaBOXCafH7krzrA | The Infographics Show,-OKtcGEEtf4,youtube#video,2019-01-31T17:15:00.000Z,Why You Should Never Visit The Dark Web,UUfdNM3NAhaBOXCafH7krzrA,27.0,PT10M9S,3591452.0,50253.0,5695.0,"0, 0","['A36SUOEMOIXFSO', 'AA4KKLIU4C3NY']",2,0.0,0.0
63,UCpJmBQ8iNHXeQ7jQWDyGe3A | Life Noggin,-OO7UbI9uYM,youtube#video,2017-03-06T14:00:40.000Z,Everything You Know About Dinosaurs Is WRONG!,UUpJmBQ8iNHXeQ7jQWDyGe3A,1.0,PT3M26S,1826916.0,37992.0,3353.0,"0, 1","['A1O6NAOVMJ1XVC', 'A39980PKUJE4NS']",2,0.5,0.5
64,UCLXo7UDZvByw2ixzpQCufnA | Vox,-Of_yz-4iXs,youtube#video,2017-02-06T13:48:38.000Z,Minecraft isn't just a game. It's an art form.,UULXo7UDZvByw2ixzpQCufnA,25.0,PT6M7S,4090100.0,79622.0,7900.0,"1, 1","['A2Z0V2A4SP5QE0', 'A39980PKUJE4NS']",2,1.0,0.0
66,UCHnyfMqiRRG1u-2MsSQLbXA | Veritasium,-OqrZG-EBaQ,youtube#video,2015-07-06T15:00:00.000Z,Should This Lake Exist?,UUHnyfMqiRRG1u-2MsSQLbXA,27.0,PT7M16S,4256212.0,85885.0,2605.0,"0, 1","['A2726YRGIF5ZXL', 'A2Z0V2A4SP5QE0']",2,0.5,0.5
67,UCCODtTcd5M1JavPCOr_Uydg | Extra Credits,-Ox9wIZeZYg,youtube#video,2018-03-01T18:00:04.000Z,Cuban Missile Crisis - Black Saturday - Extra History - #3,UUCODtTcd5M1JavPCOr_Uydg,27.0,PT11M4S,1390060.0,30091.0,316.0,"0, 1","['AGLRR7BJRX0J5', 'A3NNWJI1G86RJ2']",2,0.5,0.5
68,UC64UiPJwM_e9AqAd7RiD7JA | Today I Found Out,-PBf58Molvc,youtube#video,2019-07-26T18:02:53.000Z,Who Invented the Food Pyramid and Why You'd Be Crazy to Follow It,UU64UiPJwM_e9AqAd7RiD7JA,27.0,PT12M1S,405542.0,15986.0,356.0,"2, 2, 3","['AH31QLJ57XC8W', 'A1E235KE3CSO7H', 'A2H8GNSEVUJXYL']",3,2.333333333333333,0.4714045207910317
69,UCHnyfMqiRRG1u-2MsSQLbXA | Veritasium,-PWMQR59M68,youtube#video,2019-10-25T19:00:00.000Z,Why Trees Are Out to Get You,UUHnyfMqiRRG1u-2MsSQLbXA,27.0,PT10M8S,993460.0,67684.0,906.0,2,['A3J4QZVB7RJQ0U'],1,2.0,0.0
